UNITID,F1A01,F1A31,F1A04,F1A05,F1A06,F1A19,F1A07,F1A08,F1A09,F1A10,F1A11,F1A12,F1A13,F1A20,F1A14,F1A15,F1A16,F1A17,F1A18,F1A214,F1A224,F1A234,F1A324,F1A274,F1A27T4,F1A284,F1A334,F1A344,F1D01,F1D02,F1D03,F1D04,F1D05,F1D06,F1B01,F1B02,F1B03,F1B04,F1B04A,F1B04B,F1B05,F1B06,F1B26,F1B07,F1B08,F1B09,F1B10,F1B11,F1B12,F1B13,F1B14,F1B15,F1B16,F1B17,F1B18,F1B19,F1B27,F1B20,F1B21,F1B22,F1B23,F1B24,F1B25,F1C011,F1C012,F1C021,F1C022,F1C031,F1C032,F1C051,F1C052,F1C061,F1C062,F1C071,F1C072,F1C101,F1C111,F1C112,F1C121,F1C122,F1C131,F1C132,F1C141,F1C191,F1C192,F1C193,F1C19OM,F1C19DP,F1C19IN,F1C19OT,F1M01,F1M02,F1M03,F1M04,F1E01,F1E02,F1E03,F1E04,F1E05,F1E06,F1E07,F1E08,F1E09,F1E10,F1E11,F1H01,F1H02   
101028,6200238,17132267,14,17132281,23332519,1388851,295000,1777421,2072421,6400000,13546869,19946869,22019290,2129460,10437267,123139,30000,-10017786,572620,306000,1488857,21588597,3756531,0,27139985,10007719,0,0,15236279,15673460,-437181,6947106,-5937305,572620,2363636,181103,729690,121703,121703,0,0,,0,,389429,3785561,0,6438401,0,4948472,0,0,24222,39623,0,11450718,15236279,0,0,0,0,0,15236279,5726658,3999166,0,0,0,0,632776,406598,1915210,1194148,2141951,946213,3110501,0,0,,,,,2146364,15673460,6781697,2015059,1302397,693329,327438,4553540,632000,8126132,1093213,1206153,4844624,167738,729690,0,0,640007,6382059,3271558,0,3271558,3110501,145782,153139
101143,20319580,17959048,797394,18756442,39076022,2390864,195000,2290115,2485115,4745000,19524272,24269272,26754387,3767836,13019048,0,0,-2074385,10944663,857453,2641637,26839210,9453011,1052126,40843437,22884390,0,0,21140919,20665807,475112,18076092,-7606541,10944663,3020675,1985566,2332786,27537,27537,0,349443,,0,,2722,7718729,522055,8591648,0,3677573,373712,0,28100,32757,171344,13397189,21115918,0,0,0,25001,25001,21140919,7733269,4486000,0,0,0,0,867952,528897,2714654,1368665,4765960,1262044,1523123,471105,84426,,,,,2589744,20665807,7730032,2137537,1514225,943875,249439,8090699,291000,11736000,2962000,2112266,3677573,125043,544703,0,0,619326,4966645,3110810,332712,3443522,1523123,1000049,1051530
101161,51492780,53600515,5812637,59413152,110905932,6741978,1330005,11074454,12404459,18648345,59344416,77992761,90397220,7794086,38427472,6779876,783872,-26534616,19456604,2328692,9341353,78200102,15765749,1965077,107600973,54000457,0,0,63789309,62617876,1171433,41164857,-22879686,19456604,11647825,3645407,4943498,6902,6902,0,846035,,45046,,850180,21984893,0,26597829,1698876,13403956,0,0,0,103755,0,41804416,63789309,0,0,0,0,0,63789309,24964358,17177867,0,0,0,0,5946476,2776085,7617962,3986854,5263689,2390543,6203554,1824762,316772,,,,,10797075,62617876,26648121,8785973,7116253,2593018,742236,16732275,2916000,36428941,4169196,6034888,12973095,430861,81025,0,0,8091379,21576360,13749988,1622818,15372806,6203554,,
101240,69123945,45305244,6570862,51876106,121000051,5747905,1657000,23828429,25485429,28250000,57385111,85635111,111120540,11913631,35841927,1783839,1937099,-35849080,3713785,1316808,3402187,72682202,15143593,3383221,95928011,50916895,1610935,0,50279314,50921263,-641949,28190097,-23834363,3713785,7223568,4602177,1932049,183563,133822,49741,618137,,132722,,926,14693142,0,22147646,762735,11652742,0,0,5161,257143,491745,35317172,50010314,0,269000,0,0,269000,50279314,24349526,14030249,0,0,101593,46038,3703424,1839269,7943108,4013573,10389615,3935843,4070793,363204,147169,,,,,0,50921263,24012141,7435859,6201438,2994594,552627,9724604,1917353,33060337,5638315,4614744,11652742,413238,667047,10406,65239,2042489,14851161,10560235,220133,10780368,4070793,3262729,3404746
101286,36155244,42521011,984575,43505586,79660830,4641825,1416000,5723053,7139053,8539000,41427610,49966610,57105663,5003791,33408829,2409091,135099,-13759818,22193201,842817,4248921,54677430,10170565,0,69939733,26575904,0,0,38736762,39431460,-694698,40015572,-17127673,22193201,7104097,2571375,948092,485366,108750,376616,903410,,31157,,1,12043498,0,15932841,96544,10307078,0,0,17660,278989,60152,26693264,38736762,0,0,0,0,0,38736762,17909331,11788390,0,0,0,0,2208034,1416065,4287080,2446502,4623754,2605178,3659289,1477218,89381,,,,,5266754,39431460,18345516,6580002,2893459,1804269,277968,9530246,2438812,25239000,2591000,4114000,10307078,138345,323450,0,0,1877834,12646707,8115405,872013,8987418,3659289,139267,135099
101295,27053385,114612341,3253468,117865809,144919194,4727752,2061000,8811182,10872182,34137000,43882606,78019606,88891788,5313589,78135913,896307,0,-23590651,55441569,2659147,9182576,136750832,28748157,408383,177749095,64717336,1580582,0,47917350,50713976,-2796626,77192805,-18954610,55441569,11818046,1959520,1475297,11729,11729,0,2448195,,85170,,68406,17866363,357909,18048645,0,11082508,0,0,44723,98083,419119,30050987,47917350,0,0,0,0,0,47917350,21697360,10260612,0,0,0,0,5229968,1824989,6489701,2708686,7453059,2625393,5226850,4436639,526136,,,,,180399,50713976,17945816,6619731,5016582,5121910,1540240,14469697,2076000,26140000,2721000,4151534,11082508,262950,58348,0,0,2014396,13418202,7354682,836670,8191352,5226850,,
101301,7654488,29578917,0,29578917,37233405,2192043,0,1878300,1878300,0,21260431,21260431,23138731,3230373,29578917,0,0,-16522573,13056344,405819,2421343,39959994,7134785,0,49921941,22737689,0,2394664,20028389,21464643,-1436254,23603984,-9111386,13056344,1997565,1389304,3020264,4620,4620,0,0,,2387,,9001,6423141,0,8080315,0,5354874,0,0,3101,28745,138213,13605248,20028389,0,0,0,0,0,20028389,5323183,4472921,0,0,20473,0,755402,635967,3326741,2145505,2736430,1554199,2813533,0,0,,,,,6488881,21464643,8808592,3048143,1841048,1790639,0,5976221,925000,12484587,1887131,1919097,5338610,172630,520453,0,0,519097,6550790,3737257,0,3737257,2813533,,
101462,4955258,7151250,0,7151250,12106508,1262931,200000,1720347,1920347,885000,11408736,12293736,14214083,2404580,6066250,0,0,-9315474,-3249224,2375,958791,9811513,3825376,151050,14749105,7597855,0,0,11196180,10862902,333278,1945823,-5528325,-3249224,921011,2307323,403128,0,0,0,22254,,10005,,0,3663721,0,5161054,0,2355654,0,0,9968,2198,1,7528875,11192596,0,0,0,3584,3584,11196180,2584473,2266213,0,0,0,0,865339,499047,1070240,818884,3525308,977395,1073945,0,0,,,,,1743597,10862902,4561540,2008348,872536,449605,18011,2952862,506920,6796000,1339000,1101497,2302405,52500,171884,0,0,237891,2764680,1690735,0,1690735,1073945,,
101471,6594002,2815221,0,2815221,9409223,1842834,0,393640,393640,0,18361666,18361666,18755306,2868740,2815221,0,0,-13187210,-10371989,10000,233506,5080674,4244524,4350,9573054,6757834,0,0,13682171,12531363,1150808,-4400515,-7122282,-10371989,60804,2416068,2711482,0,0,0,0,,106261,,286,5294901,0,8018249,0,335348,0,0,0,12306,15760,8381663,13676564,0,0,0,5607,5607,13682171,6712047,3949434,0,0,0,0,1437559,929494,1646112,1079637,1619285,743119,0,0,0,,,,,1116360,12531363,6701684,2459608,816524,297337,0,2256210,828433,11239801,1954141,1641925,335348,0,0,0,0,1941013,2276361,2276361,0,2276361,0,,
101480,104792000,169764000,13430000,183194000,287986000,18587000,3665000,75645000,79310000,76896000,128103000,204999000,284309000,15708000,100931000,11414000,973000,-106762000,6556000,6315379,16346011,210552794,20494566,44875011,298583761,142134841,0,0,199809000,166849000,32960000,17769000,-44173000,6556000,47662000,4919000,2965000,2180000,2180000,0,13995000,0,0,0,2396000,74117000,0,38898000,0,13719000,0,0,0,1172000,221000,54010000,128127000,0,0,0,71682000,71682000,199809000,68204892,33103819,4701161,838636,3057981,1061343,10789831,4217591,24907677,7174288,28030293,8815933,12476000,14652166,1960941,0,0,0,0,28999,166849000,57172551,21752476,37064000,7184000,2640000,41035973,6545000,73194000,15708000,13228000,13719000,0,0,0,0,23967000,37686000,25210000,0,25210000,12476000,12405374,13359013
101505,61545387,59508578,10497783,70006361,131551748,5853686,2578000,11438047,14016047,22529043,53213703,75742746,89758793,6733297,43089456,3639863,1218919,-7034894,40913344,8928715,481093,86974457,12001926,310757,108696948,40259656,0,0,56115135,52045240,4069895,58201487,-21358038,40913344,17413587,2136980,3030968,253985,152432,101553,234158,,0,,464443,23534121,0,21740504,110000,10633280,0,0,67709,-5278,33799,32580014,56114135,0,0,1000,0,1000,56115135,29895817,16683952,0,0,60633,25301,1173618,539783,6627191,3311836,9549835,3970152,4556525,0,0,,,,,181621,52045240,24531024,8637642,5312710,2341985,574238,10647641,2875618,32771000,3508000,5184427,10633280,501873,708995,0,102095,2055522,14001765,9445240,0,9445240,4556525,1252272,1226719
