UNITID,XGRCOHRT,GRCOHRT,XUGENTER,UGENTERN,XPGRCOHR,PGRCOHRT,XRRFTCT,RRFTCT,XRRFTEX,RRFTEX,XRRFTIN,RRFTIN,XRRFTCTA,RRFTCTA,XRET_NMF,RET_NMF,XRET_PCF,RET_PCF,XRRPTCT,RRPTCT,XRRPTEX,RRPTEX,XRRPTIN,RRPTIN,XRRPTCTA,RRPTCTA,XRET_NMP,RET_NMP,XRET_PCP,RET_PCP,STUFACR,XSTUFACR
188021,R,50,R,159,R,31,R,40,R,0,R,0,R,40,R,21,R,53,R,20,R,0,R,0,R,20,R,7,R,35,17,R
188030,R,2257,R,2871,R,79,R,2033,R,1,R,0,R,2032,R,1499,R,74,R,9,R,0,R,0,R,9,R,6,R,67,17,R
188049,R,206,R,286,R,72,R,229,R,0,R,0,R,229,R,142,R,62,R,63,R,0,R,0,R,63,R,18,R,29,32,R
188058,R,158,R,272,R,58,R,57,R,1,R,0,R,56,R,23,R,41,R,6,R,0,R,0,R,6,R,2,R,33,12,R
188100,R,581,R,1351,R,43,R,515,R,0,R,0,R,515,R,295,R,57,R,192,R,0,R,0,R,192,R,70,R,36,15,R
188137,R,199,R,1215,R,16,R,359,R,0,R,0,R,359,R,232,R,65,R,205,R,0,R,0,R,205,R,80,R,39,13,R
188182,R,64,R,163,R,39,R,95,R,0,R,0,R,95,R,51,R,54,R,13,R,0,R,0,R,13,R,9,R,69,14,R
188216,R,116,R,215,R,54,R,110,R,0,R,0,R,110,R,68,R,62,R,9,R,0,R,0,R,9,R,6,R,67,18,R
188225,R,85,R,170,R,50,R,69,R,0,R,0,R,69,R,42,R,61,R,16,R,0,R,0,R,16,R,4,R,25,23,R
188261,R,39,R,377,R,10,R,68,R,0,Z,0,R,68,R,49,R,72,R,29,R,0,Z,0,R,29,R,16,R,55,18,R
188289,A,,A,,A,,R,20,R,0,R,0,R,20,R,13,R,65,R,7,R,0,R,0,R,7,R,6,R,86,8,R
188304,R,246,R,690,R,36,R,210,R,0,R,0,R,210,R,134,R,64,R,11,R,0,R,0,R,11,R,2,R,18,15,R
188340,R,305,R,499,R,61,R,88,Z,0,Z,0,R,88,R,69,R,78,R,3,Z,0,Z,0,R,3,R,0,R,0,14,R
188429,R,1237,R,1776,R,70,R,1121,R,0,Z,0,R,1121,R,902,R,80,R,10,R,0,R,0,R,10,R,7,R,70,12,R
188438,R,784,R,1111,R,71,R,869,Z,0,Z,0,R,869,R,534,R,61,R,73,Z,0,Z,0,R,73,R,31,R,42,16,R
188517,R,43,R,157,R,27,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,10,R
188526,R,191,R,309,R,62,R,185,R,0,R,0,R,185,R,149,R,81,R,1,R,0,R,0,R,1,R,0,R,0,9,R
188641,R,437,R,611,R,72,R,418,R,0,R,0,R,418,R,306,R,73,A,,A,,A,,A,,A,,A,,11,R
188650,A,,A,,A,,R,72,Z,0,Z,0,R,72,R,51,R,71,A,,A,,A,,A,,A,,A,,18,R
188669,A,,A,,A,,R,27,R,0,Z,0,R,27,R,21,R,78,A,,A,,A,,A,,A,,A,,3,R
188678,R,92,R,132,R,70,R,107,Z,0,Z,0,R,107,R,107,R,100,A,,A,,A,,A,,A,,A,,8,R
188687,R,9,R,116,R,8,R,12,Z,0,Z,0,R,12,R,5,R,42,R,30,Z,0,Z,0,R,30,R,13,R,43,22,R
188696,A,,A,,A,,R,73,R,0,R,0,R,73,R,49,R,67,A,,A,,A,,A,,A,,A,,18,R
188854,R,545,R,624,R,87,R,180,Z,0,Z,0,R,180,R,131,R,73,A,,A,,A,,A,,A,,A,,9,R
188890,A,,A,,A,,R,780,R,1,R,0,R,779,R,452,R,58,R,275,R,0,R,0,R,275,R,192,R,70,15,R
188915,A,,A,,A,,R,8,R,0,R,0,R,8,R,3,R,38,A,,A,,A,,A,,A,,A,,6,R
188942,R,63,R,158,R,40,R,54,R,0,R,0,R,54,R,18,R,33,A,,A,,A,,A,,A,,A,,15,R
189088,R,486,R,585,R,83,R,470,R,1,R,0,R,469,R,399,R,85,A,,A,,A,,A,,A,,A,,9,R
189097,R,602,R,700,R,86,R,595,R,0,R,0,R,595,R,568,R,95,R,8,R,0,R,0,R,8,R,8,R,100,9,R
189219,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,14,R
189228,R,413,R,1059,R,39,R,223,R,0,R,0,R,223,R,145,R,65,R,7,R,0,R,0,R,7,R,3,R,43,22,R
189255,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,15,R
189264,A,,A,,A,,R,1,R,0,R,0,R,1,R,0,R,0,A,,A,,A,,A,,A,,A,,3,R
189273,R,23,R,44,R,52,R,20,R,0,R,0,R,20,R,14,R,70,A,,A,,A,,A,,A,,A,,14,R
189282,R,1,R,103,R,1,R,0,R,0,R,0,R,0,R,0,A,,A,,A,,A,,A,,A,,A,,7,R
189404,A,,A,,A,,R,17,R,0,R,0,R,17,R,15,R,88,R,61,R,0,R,0,R,61,R,59,R,97,7,R
189413,R,67,R,152,R,44,R,112,R,21,R,0,R,91,R,46,R,51,A,,A,,A,,A,,A,,A,,20,R
189468,A,,A,,A,,R,56,R,0,R,0,R,56,R,41,R,73,R,33,R,0,R,0,R,33,R,24,R,73,15,R
189477,A,,A,,A,,R,43,R,0,R,0,R,43,R,32,R,74,R,73,R,0,R,0,R,73,R,46,R,63,19,R
189547,R,1522,R,2192,R,69,R,1673,Z,0,Z,0,R,1673,R,873,R,52,R,124,Z,0,Z,0,R,124,R,58,R,47,20,R
189556,R,18,R,86,R,21,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,11,R
189565,R,29,R,77,R,38,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,12,R
189574,R,70,R,153,R,46,R,89,R,0,R,0,R,89,R,33,R,37,R,2,R,0,R,0,R,2,R,1,R,50,13,R
189583,R,67,R,161,R,42,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,13,R
189592,R,25,R,86,R,29,R,0,R,0,R,0,R,0,R,0,A,,R,0,R,0,R,0,R,0,R,0,A,,10,R
189705,R,484,R,624,R,78,R,553,R,0,R,0,R,553,R,469,R,85,R,0,R,0,R,0,R,0,R,0,A,,12,R
189714,A,,A,,A,,R,25,R,0,R,0,R,25,R,15,R,60,R,11,R,0,R,0,R,11,R,7,R,64,12,R
189811,A,,A,,A,,R,13,Z,0,Z,0,R,13,R,8,R,62,A,,A,,A,,A,,A,,A,,17,R
189839,R,454,R,1058,R,43,R,517,Z,0,Z,0,R,517,R,279,R,54,R,61,Z,0,Z,0,R,61,R,28,R,46,23,R
189848,R,204,R,308,R,66,R,165,R,0,R,0,R,165,R,115,R,70,A,,A,,A,,A,,A,,A,,10,R
189857,R,39,R,241,R,16,R,36,R,0,R,0,R,36,R,23,R,64,A,,A,,A,,A,,A,,A,,32,R
189954,A,,A,,A,,R,13,R,0,R,0,R,13,R,8,R,62,A,,A,,A,,A,,A,,A,,9,R
189990,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,30,R
190008,A,,A,,A,,R,8,R,0,R,0,R,8,R,7,R,88,A,,A,,A,,A,,A,,A,,2,R
190044,R,797,R,985,R,81,R,677,R,0,R,0,R,677,R,583,R,86,A,,A,,A,,A,,A,,A,,14,R
190053,R,208,R,625,R,33,R,266,Z,0,Z,0,R,266,R,146,R,55,R,20,Z,0,Z,0,R,20,R,8,R,40,15,R
190071,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,A,,4,R
190099,R,815,R,855,R,95,R,771,R,0,R,0,R,771,R,726,R,94,A,,A,,A,,A,,A,,A,,9,R
190114,R,28,R,212,R,13,R,56,R,0,R,0,R,56,R,20,R,36,R,3,R,0,R,0,R,3,R,1,R,33,10,R
190150,R,1447,R,2102,R,69,R,1434,R,6,R,0,R,1428,R,1399,R,98,R,40,R,0,R,1,R,41,R,37,R,90,6,R
190169,R,230,R,428,R,54,R,228,Z,0,Z,0,R,228,R,147,R,64,R,51,Z,0,Z,0,R,51,R,16,R,31,17,R
190239,A,,A,,A,,R,58,R,0,Z,0,R,58,R,33,R,57,R,13,R,0,Z,0,R,13,R,9,R,69,21,R
190248,R,147,R,456,R,32,R,147,R,0,R,0,R,147,R,113,R,77,R,0,R,0,R,0,R,0,R,0,A,,10,R
190318,A,,A,,A,,R,19,R,0,Z,0,R,19,R,18,R,95,R,10,R,0,Z,0,R,10,R,5,R,50,20,R
